fid,in_atuacao,in_id,in_iptu_pr,in_situac,in_sql,in_tipolog,CEPEUC_SETOR_QUADRA_LOTE,CEPEUC_TIPOLOGIA,CEPEUC_LOGRADOURO,CEPEUC_N,CEPEUC_COND.,CEPEUC_SUBPREFEITURA,CEPEUC_PERIMETRO,CEPEUC_AREA_DO_TERRENO,CEPEUC_AREA_CONTRUÍDA,CEPEUC_DATA_DA_NOTIFICAÇAO,CEPEUC_IDENTIFICAÇÃO_DO_INSTRUMENTO,CEPEUC_SITUAÇAO_DO_IMOVEL,CEPEUC_SOLICITACAO_DA_AVERBACAO,CEPEUC_DATA_INICIAL_DA_APLICAÇÃO,CEPEUC_DATA_PROTOCOLO_APROVACAO_E_EXECUCAO_PROJETO_OU_EQUIVALENTE,CEPEUC_DATA_EXPEDICAO_ALVARA_APROVACAO_E_EXECUCAO,CEPEUC_BASE_DECAD2018,CEPEUC_DATA_1_APLICACAO_DA_ALIQUOTA_PROGRESSIVA,CEPEUC_IPTU_PROGRESSIVO_ENVIADOS_SF2016,CEPEUC_IPTU_PROGRESSIVO_ENVIADOS_SF2017,CEPEUC_IPTU_PROGRESSIVO_ENVIADOS_SF2018,CEPEUC_IPTU_PROGRESSIVO_ENVIADOS_SF2019,CEPEUC_DATA DA PUBLICACAO_DECRETO_DE_DESAPROPRIACAO,CEPEUC_DATA_DA_PROPOSITURA_DEACAO_DE_DESAPROPRIACAO,CEPEUC_DESTINACAO_DO_IMOVEL,CEPEUC_JUSTIFICATIVA_AUSENCIA_INTERESSE_NA_AQUISICAO
"62",OU CENTRO/ZEIS 5,"62",SIM,NOTIFICADO,"0010530334",NAO UTILIZADO,"0010530334",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","56",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"63",OU CENTRO/ZEIS 5,"63",SIM,NOTIFICADO,"0010530335",NAO UTILIZADO,"0010530335",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","80",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"64",OU CENTRO/ZEIS 5,"64",SIM,NOTIFICADO,"0010530336",NAO UTILIZADO,"0010530336",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","60",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"65",OU CENTRO/ZEIS 5,"65",SIM,NOTIFICADO,"0010530337",NAO UTILIZADO,"0010530337",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","51",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"66",OU CENTRO/ZEIS 5,"66",SIM,NOTIFICADO,"0010530338",NAO UTILIZADO,"0010530338",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","69",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"67",OU CENTRO/ZEIS 5,"67",SIM,NOTIFICADO,"0010530339",NAO UTILIZADO,"0010530339",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","46",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"68",OU CENTRO/ZEIS 5,"68",SIM,NOTIFICADO,"0010530340",NAO UTILIZADO,"0010530340",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","62",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"69",OU CENTRO/ZEIS 5,"69",SIM,NOTIFICADO,"0010530341",NAO UTILIZADO,"0010530341",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","61",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"70",OU CENTRO/ZEIS 5,"70",SIM,NOTIFICADO,"0010530342",NAO UTILIZADO,"0010530342",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","65",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"71",OU CENTRO/ZEIS 5,"71",SIM,NOTIFICADO,"0010530343",NAO UTILIZADO,"0010530343",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","68",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"72",OU CENTRO/ZEIS 5,"72",SIM,NOTIFICADO,"0010530344",NAO UTILIZADO,"0010530344",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","66",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"73",OU CENTRO/ZEIS 5,"73",SIM,NOTIFICADO,"0010530345",NAO UTILIZADO,"0010530345",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","48",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"74",OU CENTRO/ZEIS 5,"74",SIM,NOTIFICADO,"0010530346",NAO UTILIZADO,"0010530346",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","73",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"75",OU CENTRO/ZEIS 5,"75",SIM,NOTIFICADO,"0010530347",NAO UTILIZADO,"0010530347",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","45",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"76",OU CENTRO/ZEIS 5,"76",SIM,NOTIFICADO,"0010530348",NAO UTILIZADO,"0010530348",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","43",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"77",OU CENTRO/ZEIS 5,"77",SIM,NOTIFICADO,"0010530349",NAO UTILIZADO,"0010530349",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","56",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"78",OU CENTRO/ZEIS 5,"78",SIM,NOTIFICADO,"0010530350",NAO UTILIZADO,"0010530350",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","80",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"79",OU CENTRO/ZEIS 5,"79",SIM,NOTIFICADO,"0010530351",NAO UTILIZADO,"0010530351",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","60",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"80",OU CENTRO/ZEIS 5,"80",SIM,NOTIFICADO,"0010530352",NAO UTILIZADO,"0010530352",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","51",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"81",OU CENTRO/ZEIS 5,"81",SIM,NOTIFICADO,"0010530353",NAO UTILIZADO,"0010530353",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","69",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,"-",2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"82",OU CENTRO/ZEIS 5,"82",SIM,NOTIFICADO,"0010530354",NAO UTILIZADO,"0010530354",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","46",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"83",OU CENTRO/ZEIS 5,"83",SIM,NOTIFICADO,"0010530356",NAO UTILIZADO,"0010530356",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","61",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"84",OU CENTRO,"84",SIM,IMPUGNAÇÃO EM ANÁLISE,"0010580229",NAO UTILIZADO,"0010580229",NÃO UTILIZADO,LG DO PAIÇANDU,"62",,SPSE,OU CENTRO,"1968","6696",2016/10/18,IPTU PROGRESSIVO,IMPUGNAÇÃO EM ANÁLISE,AVERBADO,2016/10/18,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"85",OU CENTRO,"85",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0010630030",NAO UTILIZADO,"0010630030",NÃO UTILIZADO,R JOAO BRICOLA,"59",NÃO,SPSE,OU CENTRO,"761","9777",2015/04/27,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/04/27,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"86",OU CENTRO/ZEIS 3,"86",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0010670250",SUBUTILIZADO,"0010670250",SUBUTILIZADO,R BARÃO DE DUPRAT,"89",NÃO,SPSE,OU CENTRO / ZEIS 3,"1847","69",2015/08/11,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/08/11,2015/12/08,"-",,"-","-","-","-","-","-","-","-","-"
"87",OU CENTRO,"87",SIM,NOTIFICADO,"0010720099",NAO UTILIZADO,"0010720099",NÃO UTILIZADO,R LIBERO BADARO,"446",NÃO,SPSE,OU CENTRO,"310","960",2015/10/23,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/10/23,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"88",OU CENTRO,"88",NÃO,IMPUGNAÇÃO DEFERIDA / MONITORAMENTO,"0010750656",NAO UTILIZADO,"0010750656",NÃO UTILIZADO,R BOA VISTA,"228",NÃO,SPSE,OU CENTRO,"1627","16025",2015/07/21,PEUC,IMPUGNAÇÃO DEFERIDA / MONITORAMENTO,AVERBADO,2015/07/21,"-","-",,"-","-","-","-","-","-","-","-","-"
"89",OU CENTRO,"89",SIM,IMPUGNAÇÃO EM ANÁLISE,"0010800010",NAO UTILIZADO,"0010800010",NÃO UTILIZADO,R SÃO BENTO,189-195-19,NÃO,SPSE,OU CENTRO,"402","1634",2015/07/21,IPTU PROGRESSIVO,IMPUGNAÇÃO EM ANÁLISE,AVERBADO,2015/07/21,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"90",OU CENTRO,"90",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0010810019",NAO UTILIZADO,"0010810019",NÃO UTILIZADO,R SÃO BENTO,"216",NÃO,SPSE,OU CENTRO,"526","2719",2015/04/23,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/04/23,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"91",OU CENTRO,"91",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0010830008",NAO UTILIZADO,"0010830008",NÃO UTILIZADO,R GAL CARNEIRO,"31",NÃO,SPSE,OU CENTRO,"324","3776",2015/06/03,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/06/03,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"92",OU CENTRO,"92",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0010840027",NAO UTILIZADO,"0010840027",NÃO UTILIZADO,R DIREITA,"240",NÃO,SPSE,OU CENTRO,"231","1740",2015/04/23,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/04/23,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"93",SUBPREFEITURA MOOCA/ZEIS 3,"93",NÃO,NOTIFICADO,"0020030049",SUBUTILIZADO,"0020030049",SUBUTILIZADO,R JOÃO JACINTO,"95",NA,SPMO,SUBPREFEITURA MOOCA / ZEIS 3,"1554","160",2015/08/06,PEUC,NOTIFICADO,AVERBADO,2015/08/06,2018/12/04,"-",,"2017","-",ENVIADO,ENVIADO,"-","-","-","-","-"
"94",OU CENTRO,"94",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0020280038",NAO UTILIZADO,"0020280038",NÃO UTILIZADO,AV MERCURIO,"564",NÃO,SPSE,OU CENTRO,"377","3500",2014/11/12,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2014/11/12,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"95",OU CENTRO,"95",SIM,NOTIFICADO,"0020550094",SUBUTILIZADO,"0020550094",SUBUTILIZADO,R DO GASOMETRO,"00399",NÃO,SPMO,OU CENTRO,"751","230",2015/09/11,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/11,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"96",SUBPREFEITURA MOOCA/ZEIS 3,"96",SIM,NOTIFICADO,"0020580022",NAO UTILIZADO,"0020580022",NÃO UTILIZADO,DO GASOMETRO,797-805,"-",SPMO,SUBPREFEITURA MOOCA / ZEIS 3,"478","700",2015/06/17,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/06/17,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"97",SUBPREFEITURA MOOCA/ZEIS 3,"97",NÃO,NOTIFICADO,"0020580025",SUBUTILIZADO,"0020580025",SUBUTILIZADO,R CORONEL FRANCISCO AMARO,"119",NÃO,SPMO,SUBPREFEITURA MOOCA / ZEIS 3,"577","50",2015/04/23,PEUC,NOTIFICADO,AVERBADO,2015/04/23,2017/03/06,2017/06/14,,"2017","-",ENVIADO,"-","-","-","-","-","-"
"98",OU CENTRO,"98",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0020610004",NAO UTILIZADO,"0020610004",NÃO UTILIZADO,Páteo do Colégio,"1",NÃO,SPSE,OU CENTRO,"250","1221",2015/08/11,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/08/11,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"99",OU CENTRO,"99",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0020660001",NAO UTILIZADO,"0020660001",NÃO UTILIZADO,R VINTE E CINCO DE MARÇO,198-214,"-",SPSE,OU CENTRO,"316","1113",2015/02/04,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/02/04,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"100",OU CENTRO,"100",SIM,NOTIFICADO,"0020680003",NAO UTILIZADO,"0020680003",NÃO UTILIZADO,FLORIANO PEIXOTO,40 - 44,NÃO,SPSE,OU CENTRO,"142","1800",2015/02/27,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/02/27,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"101",OU CENTRO,"101",SIM,NOTIFICADO,"0020680004",NAO UTILIZADO,"0020680004",NÃO UTILIZADO,R FLORIANO PEIXOTO,"48",NÃO,SPSE,OU CENTRO,"100","960",2015/04/10,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/04/10,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"102",OU CENTRO,"102",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0020680005",NAO UTILIZADO,"0020680005",NÃO UTILIZADO,R FLORIANO PEIXOTO,"54",NÃO,SPSE,OU CENTRO,"418","870",2015/12/11,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/12/11,"-","-",,"-","-","-","-","-","-","-","-","-"
"103",OU CENTRO,"103",SIM,NOTIFICADO,"0020680006",NAO UTILIZADO,"0020680006",NÃO UTILIZADO,R ROBERTO SIMONSEN,97-101,NÃO,SPSE,OU CENTRO,"490","1020",2016/01/09,IPTU PROGRESSIVO,NOTIFICADO,"-",2016/01/09,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"104",OU CENTRO,"104",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0020680007",NAO UTILIZADO,"0020680007",NÃO UTILIZADO,R ROBERTO SIMONSEN,85-89,NÃO,SPSE,OU CENTRO,"167","468",2016/01/22,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2016/01/22,"-","-",,"-","-","-","-","-","-","-","-","-"
"105",OU CENTRO,"105",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0020730002",NAO UTILIZADO,"0020730002",NÃO UTILIZADO,R ROBERTO SIMONSEN,"13",NA,SPSE,OU CENTRO,"547","2800",2015/06/09,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/06/09,"-","-",,"-","-","-","-","-","-","-","-","-"
"106",OU CENTRO,"106",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0020730003",NAO UTILIZADO,"0020730003",NÃO UTILIZADO,PC CLOVIS BEVILAQUA,"75",NÃO,SPSE,OU CENTRO,"378","780",2015/02/24,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/02/24,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"107",OU CENTRO,"107",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0020730004",NAO UTILIZADO,"0020730004",NÃO UTILIZADO,PC CLOVIS BEVILAQUA,"45",NÃO,SPSE,OU CENTRO,"468","1416",2015/02/24,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/02/24,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"108",OU CENTRO,"108",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0020730013",NAO EDIFICADO,"0020730013",NÃO EDIFICADO,PC CLOVIS BEVILACQUA,"-","-",SPSE,OU CENTRO,"1648","0",2015/04/14,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/04/14,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"109",OU CENTRO,"109",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0020740007",NAO UTILIZADO,"0020740007",NÃO UTILIZADO,R ROBERTO SIMONSEN,"22",NÃO,SPSE,OU CENTRO,"720","1800",2015/03/18,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2015/03/18,"-","-",,"-","-","-","-","-","-","-","-","-"
"110",OU CENTRO/ZEIS 5,"110",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0020740011",NAO UTILIZADO,"0020740011",NÃO UTILIZADO,PC CLOVIS BEVILAQUA,127-131,NÃO,SPSE,OU CENTRO / ZEIS 5,"444","657",2016/03/31,IPTU PROGRESSIVO,IMPUGNAÇÃO EM ANÁLISE,AVERBADO,2016/03/31,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"111",OU CENTRO/ZEIS 5,"111",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0020740034",SUBUTILIZADO,"0020740034",SUBUTILIZADO,R ROBERTO SIMONSEN,"4",NÃO,SPSE,OU CENTRO / ZEIS 5,"520","67",2015/01/15,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/01/15,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"112",SUBPREFEITURA SÉ/ZEIS 5,"112",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0020740211",SUBUTILIZADO,"0020740211",SUBUTILIZADO,VENCESLAU BRAS,"168","-",SPSE,SUBPREFEITURA SÉ / ZEIS 5,"601","140",2015/07/20,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/07/20,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"113",OU CENTRO,"113",SIM,NOTIFICADO,"0020770023",NAO UTILIZADO,"0020770023",NÃO UTILIZADO,R VASCO DA GAMA,"151","-",SPMO,OU CENTRO,"113","404",2015/04/23,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/04/23,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"114",OU CENTRO,"114",SIM,NOTIFICADO,"0030030162",NAO UTILIZADO,"0030030162",NÃO UTILIZADO,R DO CARMO,93-103,NÃO,SPSE,OU CENTRO,"584","868",2014/12/12,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2014/12/12,"-","-",,"2016",ENVIADO,ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"115",OU CENTRO,"115",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0030190016",NAO EDIFICADO,"0030190016",NÃO EDIFICADO,R CAETANO PINTO,"200",NÃO,SPMO,OU CENTRO,"531","0",2015/05/28,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/05/28,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"116",OU CENTRO,"116",NÃO,RECURSO INDEFERIDO / MONITORAMENTO,"0030190022",SUBUTILIZADO,"0030190022",SUBUTILIZADO,R CAETANO PINTO,"252",NÃO,SPSE,OU CENTRO,"758","360",2015/12/30,PEUC,RECURSO INDEFERIDO / MONITORAMENTO,"-",2015/12/30,"-","-",,"-","-","-","-","-","-","-","-","-"
"117",OU CENTRO,"117",SIM,NOTIFICADO,"0030210035",NAO UTILIZADO,"0030210035",NÃO UTILIZADO,R DA FIGUEIRA,"709",NÃO,SPMO,OU CENTRO,"198","571",2016/03/01,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2016/03/01,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"118",OU CENTRO/ZEIS 3,"118",SIM,NOTIFICADO,"0030370035",NAO UTILIZADO,"0030370035",NÃO UTILIZADO,R VISCONDE DE PARNAIBA,"226",NÃO,SPMO,OU CENTRO / ZEIS 3,"150","220",2016/01/28,IPTU PROGRESSIVO,NOTIFICADO,"-",2016/01/28,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"119",OU CENTRO,"119",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0030440137",NAO EDIFICADO,"0030440137",NÃO EDIFICADO,R ALEGRIA,"99999",NÃO,SPMO,OU CENTRO,"568","0",2015/10/02,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/10/02,2015/12/10,"-",,"-","-","-","-","-","-","-","-","-"
"120",OU CENTRO,"120",NÃO,NOTIFICADO,"0030440184",SUBUTILIZADO,"0030440184",SUBUTILIZADO,R VISC DE PARNAIBA,"00913",NÃO,SPSE,OU CENTRO,"739","300",2016/02/26,PEUC,NOTIFICADO,AVERBADO,2016/02/26,2017/12/29,"-",,"-","-","-","-","-","-","-","-","-"
"121",OU CENTRO,"121",NÃO,IMPUGNAÇÃO DEFERIDA / MONITORAMENTO,"0030450043",NAO UTILIZADO,"0030450043",NÃO UTILIZADO,R DA MOOCA,"775",NÃO,SPMO,OU CENTRO,"14022","15459",2015/03/31,PEUC,IMPUGNAÇÃO DEFERIDA / MONITORAMENTO,AVERBADO,2015/03/31,"-","-",,"-","-","-","-","-","-","-","-","-"
"122",OU CENTRO,"122",NÃO,IMPUGNAÇÃO DEFERIDA / MONITORAMENTO,"0030450044",NAO UTILIZADO,"0030450044",NÃO UTILIZADO,R DA MOOCA,"699",NÃO,SPMO,OU CENTRO,"720","2100",2015/03/31,PEUC,IMPUGNAÇÃO DEFERIDA / MONITORAMENTO,AVERBADO,2015/03/31,"-","-",,"-","-","-","-","-","-","-","-","-"
"123",OU CENTRO/ZEIS 3,"123",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0030460034",NAO UTILIZADO,"0030460034",NÃO UTILIZADO,AV ALCANTARA MACHADO,"803",NÃO,SPMO,OU CENTRO / ZEIS 3,"136","136",2016/03/02,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2016/03/02,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"124",OU CENTRO/ZEIS 3,"124",SIM,NOTIFICADO,"0030560018",NAO UTILIZADO,"0030560018",NÃO UTILIZADO,R VISCONDE DE PARNAIBA,"456",NÃO,SPMO,OU CENTRO / ZEIS 3,"185","185",2016/04/16,IPTU PROGRESSIVO,NOTIFICADO,"-",2016/04/16,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
